EmbINum,EmbAñoFRlt,EmbAñoIni,EmbAñoFin,EmbNom,EmbDatTip,EmbDatIHid,EmbEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
306,F,2014,2014,Lago Laja,EmbQExtCnv,51,EtaMes,69.6,66.4,60.3,50.3,48.3,48.5,48.4,51.2,43.5,68.1,67.4,52.2
307,F,2015,2015,Lago Laja,EmbQExtCnv,1,EtaMes,33.4,33.3,41.1,52.6,54.7,44.3,59.9,66.7,72.5,94.8,60.1,37.9
308,F,2015,2015,Lago Laja,EmbQExtCnv,2,EtaMes,33.7,33.6,33.9,58.3,82.7,59.6,43.2,65.1,78,74.2,85.9,80.7
309,F,2015,2015,Lago Laja,EmbQExtCnv,3,EtaMes,72.3,72.8,50.6,33.4,51.3,43.4,43.9,47.8,58.3,66.9,66.2,51.4
310,F,2015,2015,Lago Laja,EmbQExtCnv,4,EtaMes,38.7,38.8,39.2,40,54,82.2,42.6,67,94.8,89.7,89,86.1
311,F,2015,2015,Lago Laja,EmbQExtCnv,5,EtaMes,34.8,34.7,34.7,34.8,37,48.3,56.9,65.1,85.5,58.9,46.3,36
312,F,2015,2015,Lago Laja,EmbQExtCnv,6,EtaMes,31.5,55.5,61.3,61.7,63.2,67.3,66.8,68.7,71.6,58.4,57.7,63.4
313,F,2015,2015,Lago Laja,EmbQExtCnv,7,EtaMes,57,43.7,50.9,47.1,61.1,55.2,48.8,55.3,42.6,63.6,74.4,69.5
314,F,2015,2015,Lago Laja,EmbQExtCnv,8,EtaMes,70.1,64.4,50.3,37,45.8,45.5,47.6,51.1,52.3,133.2,94.7,45.6
315,F,2015,2015,Lago Laja,EmbQExtCnv,9,EtaMes,54.7,42.1,35.1,36.2,43.5,45.5,47.3,51.1,54.2,49.4,48.2,38.8
316,F,2015,2015,Lago Laja,EmbQExtCnv,10,EtaMes,30.8,31.3,60.1,87.3,67.5,55.1,66.4,73,81.1,105,54.2,41.8
317,F,2015,2015,Lago Laja,EmbQExtCnv,11,EtaMes,35.6,35.7,42.5,50.6,45.5,48.8,64.1,72.6,101.9,84.3,61.3,36.5
318,F,2015,2015,Lago Laja,EmbQExtCnv,12,EtaMes,31,45.1,44.8,47.4,74.2,65.4,77.4,67.7,74.7,83.8,47.4,35.1
319,F,2015,2015,Lago Laja,EmbQExtCnv,13,EtaMes,31.2,54.3,52.9,66.8,59.6,61.3,61.7,65.6,72.7,60.6,68.1,62.9
320,F,2015,2015,Lago Laja,EmbQExtCnv,14,EtaMes,61.2,60.5,58.8,54.2,45.1,44.4,52.1,58.4,50.6,70.1,55.4,52
321,F,2015,2015,Lago Laja,EmbQExtCnv,15,EtaMes,47.3,46.3,47.1,47.9,48,48.9,54.7,69.7,77.2,53.2,47,43
322,F,2015,2015,Lago Laja,EmbQExtCnv,16,EtaMes,31.2,45.8,64.6,67.9,53,44.8,66.8,62.2,78.3,100.3,70.3,39.7
323,F,2015,2015,Lago Laja,EmbQExtCnv,17,EtaMes,32.7,33.6,54.1,50.8,44.6,46.6,50.4,73.1,82.2,84.3,48.9,41.5
324,F,2015,2015,Lago Laja,EmbQExtCnv,18,EtaMes,31.5,46.1,48.8,51.4,58.9,72.5,79.7,63.7,79.8,70.5,66.6,62.8
325,F,2015,2015,Lago Laja,EmbQExtCnv,19,EtaMes,42.4,43.2,44.9,44.9,65.5,61.1,40.8,47.5,76.3,88.1,80.1,47.8
326,F,2015,2015,Lago Laja,EmbQExtCnv,20,EtaMes,42.3,42.4,45.9,44,54.6,62.1,75.1,66.4,70.2,64.6,60.1,46.4
327,F,2015,2015,Lago Laja,EmbQExtCnv,21,EtaMes,51.2,42.2,47.9,51.2,52.8,61.1,58.2,66.4,68.3,66.8,64.2,60.6
328,F,2015,2015,Lago Laja,EmbQExtCnv,22,EtaMes,43,48.1,52.7,54.1,57.1,59.6,62.3,61.3,60.4,80.8,48,46.6
329,F,2015,2015,Lago Laja,EmbQExtCnv,23,EtaMes,47.5,47.6,49.9,56.5,72,55.1,57.7,67.6,73.5,64.3,62.8,58.9
330,F,2015,2015,Lago Laja,EmbQExtCnv,24,EtaMes,62.9,45,59.1,53,50.3,50.4,50.7,60.1,53.6,84.7,69,66.9
331,F,2015,2015,Lago Laja,EmbQExtCnv,25,EtaMes,52.6,52.7,52.7,53.3,53.6,55,42.9,53.2,65.1,65.3,63.9,60.5
332,F,2015,2015,Lago Laja,EmbQExtCnv,26,EtaMes,58.2,50.1,55.3,51.9,57.9,57.1,49.2,58.8,59.2,56.4,48,46.6
333,F,2015,2015,Lago Laja,EmbQExtCnv,27,EtaMes,48.5,51.6,50.1,70,63.8,64.8,59.1,61.8,62.6,68.9,69.1,67.9
334,F,2015,2015,Lago Laja,EmbQExtCnv,28,EtaMes,66.9,60.3,54.4,37.5,39.9,46.9,50.9,53.8,56.9,67.1,76.4,71.9
335,F,2015,2015,Lago Laja,EmbQExtCnv,29,EtaMes,69,54.6,44.4,48.7,49.8,53.4,48.7,50,52.1,88.4,96.3,64.3
336,F,2015,2015,Lago Laja,EmbQExtCnv,30,EtaMes,36.2,36,36.1,36.5,37,37.6,73.9,82.2,105.8,57.7,54.4,44.3
337,F,2015,2015,Lago Laja,EmbQExtCnv,31,EtaMes,34.5,35,35.6,38.7,65.2,71.1,72.1,99.6,75.1,45.9,43.7,39.8
338,F,2015,2015,Lago Laja,EmbQExtCnv,32,EtaMes,30.2,50.9,61.2,52.2,81.7,60.9,61.5,71.4,80.3,79.9,52.4,38.6
339,F,2015,2015,Lago Laja,EmbQExtCnv,33,EtaMes,33.8,39.1,53.6,68.1,92,65.4,35.9,50.5,69.4,78,77.1,75
340,F,2015,2015,Lago Laja,EmbQExtCnv,34,EtaMes,41.6,44.8,41.1,45.2,55.8,58.5,49.7,62,70.3,77.2,72.9,69.6
341,F,2015,2015,Lago Laja,EmbQExtCnv,35,EtaMes,61.7,57.4,48,47.5,56.2,49.1,44.4,54.6,55.6,68,74.8,72.9
342,F,2015,2015,Lago Laja,EmbQExtCnv,36,EtaMes,48.1,48,52.3,52.4,61,44.6,46,48.7,69.1,79,76.1,73.8
343,F,2015,2015,Lago Laja,EmbQExtCnv,37,EtaMes,59.4,58.5,52.6,59.8,56.6,52.8,47.5,53.2,52.4,81,63,46.7
344,F,2015,2015,Lago Laja,EmbQExtCnv,38,EtaMes,55.9,57.8,58.2,64.1,55.5,53,49.7,51.7,56.2,60.6,61.7,66.6
345,F,2015,2015,Lago Laja,EmbQExtCnv,39,EtaMes,55.7,60.1,62.1,59.7,58.7,52.5,55.2,55.5,52.9,93.8,62.9,49.9
346,F,2015,2015,Lago Laja,EmbQExtCnv,40,EtaMes,48.4,48.5,49,39.6,50.4,51.9,58.4,63.9,84.2,75,50.3,40.6
347,F,2015,2015,Lago Laja,EmbQExtCnv,41,EtaMes,31.8,31.8,40.9,72.5,70.4,59,61.5,79,87.8,67.9,63.5,61.1
348,F,2015,2015,Lago Laja,EmbQExtCnv,42,EtaMes,39,45.6,62.4,47.3,46.9,67.1,71.9,68.3,71.8,94.1,93.5,48
349,F,2015,2015,Lago Laja,EmbQExtCnv,43,EtaMes,69.8,57,53.1,54.4,39.2,45.1,38.7,50,58.6,57.4,61.8,66
350,F,2015,2015,Lago Laja,EmbQExtCnv,44,EtaMes,64.4,58.3,45.7,51.9,52.2,59.6,51.4,52.2,52,66,67.2,70.3
351,F,2015,2015,Lago Laja,EmbQExtCnv,45,EtaMes,50.8,51.2,52.8,54.2,56.4,51.6,47.1,57.8,58.5,77.1,73.3,65.8
352,F,2015,2015,Lago Laja,EmbQExtCnv,46,EtaMes,66,51.5,39,40.8,42.7,49.8,45.8,49,67.1,63.8,60.1,57.8
353,F,2015,2015,Lago Laja,EmbQExtCnv,47,EtaMes,60.9,58.6,54.3,58.6,59.3,59.4,58.7,61.3,54.3,75.5,65.7,50.8
354,F,2015,2015,Lago Laja,EmbQExtCnv,48,EtaMes,50.3,50.4,51.2,52.6,53.5,54.6,56.7,58.4,60.3,62.9,64.2,68.5
355,F,2015,2015,Lago Laja,EmbQExtCnv,49,EtaMes,68.3,67.4,47.9,46,54,46.2,51.6,56.3,61.7,55.3,66.5,61.8
356,F,2015,2015,Lago Laja,EmbQExtCnv,50,EtaMes,62.4,60.3,58.6,58.4,56.4,54.5,49.9,48.5,50.9,111.7,62.1,41.5
357,F,2015,2015,Lago Laja,EmbQExtCnv,51,EtaMes,72.3,72.8,50.6,33.4,51.3,43.4,43.9,47.8,58.3,66.9,66.2,51.4
358,F,2016,2016,Lago Laja,EmbQExtCnv,1,EtaMes,32.9,32.9,41.1,48.4,48.1,48.8,58.8,68.9,88.1,108.3,72.2,40.5
359,F,2016,2016,Lago Laja,EmbQExtCnv,2,EtaMes,33.5,33.4,41.2,53.8,72.3,55.2,63.6,67.7,69.8,68.5,65.1,80.9
360,F,2016,2016,Lago Laja,EmbQExtCnv,3,EtaMes,74,33.3,42,34.9,56.3,55.9,45.4,50.2,53.7,64.9,64.2,50.1
361,F,2016,2016,Lago Laja,EmbQExtCnv,4,EtaMes,38.7,38.8,39.1,39.9,68.4,71.7,44.9,65.7,92.7,88.4,86.7,83.4
362,F,2016,2016,Lago Laja,EmbQExtCnv,5,EtaMes,46.1,45,40.5,35.2,35.9,43.5,49.6,52.1,72.8,83.3,62.1,44.7
363,F,2016,2016,Lago Laja,EmbQExtCnv,6,EtaMes,30.9,54.3,64.7,57.5,60,74.6,61.2,67.6,71.2,68,76.1,70.1
364,F,2016,2016,Lago Laja,EmbQExtCnv,7,EtaMes,56,46.7,47.7,53.4,64.1,65.8,59.3,60.9,50.9,78,72.9,69.7
365,F,2016,2016,Lago Laja,EmbQExtCnv,8,EtaMes,70.4,64.6,60.7,37.5,46.2,47.1,46.2,49.5,55.8,124.1,102.4,45
366,F,2016,2016,Lago Laja,EmbQExtCnv,9,EtaMes,36.8,36.8,36.9,37,47.1,50.4,52.6,57.1,58,47.2,46,37.6
367,F,2016,2016,Lago Laja,EmbQExtCnv,10,EtaMes,31,31.6,58,68.3,60.1,69.1,77.2,66.8,84.5,89.5,77.6,40.2
368,F,2016,2016,Lago Laja,EmbQExtCnv,11,EtaMes,34.2,34.4,45.3,54.3,47.4,49.7,63.4,70,82.9,81.7,74.2,36.9
369,F,2016,2016,Lago Laja,EmbQExtCnv,12,EtaMes,31.6,46,45.6,61.4,62.5,66.8,55.6,53.7,78.2,95.1,72.3,36.4
370,F,2016,2016,Lago Laja,EmbQExtCnv,13,EtaMes,34.9,48.8,52,79.2,54.5,57.9,48.2,53.2,87.1,64.7,62.7,59.5
371,F,2016,2016,Lago Laja,EmbQExtCnv,14,EtaMes,61.8,55.9,57.9,46.6,50.5,56.4,48.7,58.3,57.5,79.1,80.6,79.1
372,F,2016,2016,Lago Laja,EmbQExtCnv,15,EtaMes,33.3,36.4,53.2,51.2,47.2,47.8,72.7,77.5,86.3,63.8,51,39.8
373,F,2016,2016,Lago Laja,EmbQExtCnv,16,EtaMes,38.8,47.8,61.8,78.6,51.3,48.9,72.3,60.4,79.4,98.3,70.2,39.4
374,F,2016,2016,Lago Laja,EmbQExtCnv,17,EtaMes,33.2,33.2,47.5,47.7,47,49.4,53,78.7,84.6,68.2,51.5,41.4
375,F,2016,2016,Lago Laja,EmbQExtCnv,18,EtaMes,32,33.5,48.9,51.4,55.4,74,66.6,60.3,86.1,74.5,70.7,67.9
376,F,2016,2016,Lago Laja,EmbQExtCnv,19,EtaMes,30.6,40.8,43.9,50.4,65.4,62.1,61.5,61,68.3,84.8,84.4,48
377,F,2016,2016,Lago Laja,EmbQExtCnv,20,EtaMes,46.8,46.9,50.8,48,46.8,44.1,52.4,65.9,68,64.3,60.6,48.7
378,F,2016,2016,Lago Laja,EmbQExtCnv,21,EtaMes,57.9,41.7,46.8,57.6,56.1,62.1,57.3,66.5,67.3,66.3,62.6,61.7
379,F,2016,2016,Lago Laja,EmbQExtCnv,22,EtaMes,59.2,41.1,49.9,48.9,54.5,57,56.4,63.4,62.8,82.9,80.7,75.2
380,F,2016,2016,Lago Laja,EmbQExtCnv,23,EtaMes,45.6,45.8,48.4,50.9,70.7,54.5,57.2,68.3,66,62.6,63.1,60.4
381,F,2016,2016,Lago Laja,EmbQExtCnv,24,EtaMes,58.9,57.4,56.3,52.6,55.5,53.1,54.2,55.4,54.9,65.1,54.8,53.3
382,F,2016,2016,Lago Laja,EmbQExtCnv,25,EtaMes,50.4,50.4,50.2,50.7,51,51.2,43.3,52.8,63.8,67.9,65.6,63
383,F,2016,2016,Lago Laja,EmbQExtCnv,26,EtaMes,59,57,55.6,48.6,57.7,51.3,51.7,57.4,56.4,52.4,51.9,51
384,F,2016,2016,Lago Laja,EmbQExtCnv,27,EtaMes,46.5,60.5,47.3,69.3,69.6,72.4,48.3,58.9,59.1,81.8,78.4,49.2
385,F,2016,2016,Lago Laja,EmbQExtCnv,28,EtaMes,67.5,63.1,59.9,44.9,41,49.9,39.1,55.9,58,65.9,63.5,63.3
386,F,2016,2016,Lago Laja,EmbQExtCnv,29,EtaMes,68.4,57.4,42.8,44.8,50.9,49,49.4,51.3,56,113.1,53.2,45.9
387,F,2016,2016,Lago Laja,EmbQExtCnv,30,EtaMes,32.7,32.5,32.5,38.8,43.4,46.8,60.3,75.2,75.3,54.3,55,44.7
388,F,2016,2016,Lago Laja,EmbQExtCnv,31,EtaMes,34.1,34.5,46.6,46.4,76.2,62.8,63.3,71.2,91.8,47,46.2,40.7
389,F,2016,2016,Lago Laja,EmbQExtCnv,32,EtaMes,29.7,46.9,78.1,63.9,66.5,64.8,71.1,69.4,63.3,48.9,47.6,35.8
390,F,2016,2016,Lago Laja,EmbQExtCnv,33,EtaMes,34.6,42,52.4,78.8,60.8,68.5,40.1,61.3,73.7,80.9,77,71.5
391,F,2016,2016,Lago Laja,EmbQExtCnv,34,EtaMes,63.8,45.1,38.7,43.7,47.2,48.1,41,63.4,64.4,72,75.5,70.1
392,F,2016,2016,Lago Laja,EmbQExtCnv,35,EtaMes,67.8,62.3,43.5,40.5,61,48.6,43.9,46.3,51.2,75.6,72.5,71.2
393,F,2016,2016,Lago Laja,EmbQExtCnv,36,EtaMes,67.6,65.2,53.1,48.9,54.5,41.2,38.1,42.9,57.9,60.6,55.3,63
394,F,2016,2016,Lago Laja,EmbQExtCnv,37,EtaMes,50.2,47.7,53.9,47.6,49.7,54.4,55.5,51,46.5,73.8,61.8,60.7
395,F,2016,2016,Lago Laja,EmbQExtCnv,38,EtaMes,52.3,49.2,42.3,45,58.8,60.4,61.1,58.8,65.3,60,58.6,62.8
396,F,2016,2016,Lago Laja,EmbQExtCnv,39,EtaMes,64.8,64.1,60.8,51.9,50.3,55.3,49.6,53.5,45.6,75.8,63.5,50.2
397,F,2016,2016,Lago Laja,EmbQExtCnv,40,EtaMes,45.7,35.3,45.3,37.4,51,52.8,59.5,64.8,85.5,80.5,47.6,40.2
398,F,2016,2016,Lago Laja,EmbQExtCnv,41,EtaMes,32.1,32,39.8,58.9,76.1,64.5,57.2,71.6,84.5,70.4,67.5,61.5
399,F,2016,2016,Lago Laja,EmbQExtCnv,42,EtaMes,42.3,54.7,48.4,44.8,50.5,60.1,56.4,66.5,67.9,78.2,73.7,68.5
400,F,2016,2016,Lago Laja,EmbQExtCnv,43,EtaMes,47.2,48.2,48.5,48.6,45.5,51,38.9,53.3,70,64.3,63.2,60.7
401,F,2016,2016,Lago Laja,EmbQExtCnv,44,EtaMes,63.4,62.1,49.6,53.7,57.6,58.7,53.1,50.3,50.6,60.6,59.9,70.1
402,F,2016,2016,Lago Laja,EmbQExtCnv,45,EtaMes,52.1,66.4,51.5,42.2,55.1,51.9,47.1,56.4,58.1,72.7,70.4,61.1
403,F,2016,2016,Lago Laja,EmbQExtCnv,46,EtaMes,72.2,60.7,41.5,43.3,45.3,51.8,48.2,50.4,55.5,55,53.5,56.4
404,F,2016,2016,Lago Laja,EmbQExtCnv,47,EtaMes,67.1,68.2,46,48.9,51.1,52.4,54.1,56,58.5,55.7,64.5,53.9
405,F,2016,2016,Lago Laja,EmbQExtCnv,48,EtaMes,50.1,50.2,51.1,52.8,53.8,55.1,57.6,59.7,62.1,61.8,68.9,67.7
406,F,2016,2016,Lago Laja,EmbQExtCnv,49,EtaMes,76,44.3,41.5,45.1,48.1,51.1,55.4,61,66.8,51.2,60.2,59.8
407,F,2016,2016,Lago Laja,EmbQExtCnv,50,EtaMes,63.6,61.3,59,58.2,56.2,53.2,50.7,48.6,50.4,90.1,92.7,79.9
408,F,2016,2016,Lago Laja,EmbQExtCnv,51,EtaMes,74,33.3,42,34.9,56.3,55.9,45.4,50.2,53.7,64.9,64.2,50.1
409,F,2017,2017,Lago Laja,EmbQExtCnv,1,EtaMes,63,30.6,53.3,49,44.4,41.7,34.1,53.1,55,89.9,78.4,81.6
410,F,2017,2017,Lago Laja,EmbQExtCnv,2,EtaMes,35.7,35.6,50.2,52.2,71.7,41.4,40.3,44.6,90.8,79.3,82.1,79.9
411,F,2017,2017,Lago Laja,EmbQExtCnv,3,EtaMes,79.6,43.1,42.1,34.8,55,55.3,56.2,55.8,48.5,62.7,62,48.4
412,F,2017,2017,Lago Laja,EmbQExtCnv,4,EtaMes,37.8,37.9,38.3,39,68,78.3,52.8,63.6,89.5,81.6,86.8,83.2
413,F,2017,2017,Lago Laja,EmbQExtCnv,5,EtaMes,61.2,41.2,35.2,34.5,35.7,42.1,48.4,59.4,69.7,58.8,57.1,52.5
414,F,2017,2017,Lago Laja,EmbQExtCnv,6,EtaMes,55.4,86.5,38.8,41.3,43.1,84.4,44.4,48.2,52,72.1,76,72.4
415,F,2017,2017,Lago Laja,EmbQExtCnv,7,EtaMes,55.8,40.9,47.6,49.1,62.5,53.7,49.8,54.7,56.9,62,60.1,72.4
416,F,2017,2017,Lago Laja,EmbQExtCnv,8,EtaMes,66.7,60.6,41.2,37,48.3,47.6,51.7,55,56.3,98.9,92.6,71.9
417,F,2017,2017,Lago Laja,EmbQExtCnv,9,EtaMes,36.4,36.5,36.6,38.1,47.3,51.9,52.1,59.7,57,51.6,50.4,40.4
418,F,2017,2017,Lago Laja,EmbQExtCnv,10,EtaMes,30.4,30.9,53.8,65.8,72.1,77.8,70.7,71.4,79.3,99.2,57.8,44.1
419,F,2017,2017,Lago Laja,EmbQExtCnv,11,EtaMes,33.4,36.9,55,48.9,45.1,48.9,54.7,75,80.2,84.7,67.7,37.5
420,F,2017,2017,Lago Laja,EmbQExtCnv,12,EtaMes,32,46.1,45.7,61.9,69.5,61.9,45.6,54.7,74.4,97.2,95.1,40.1
421,F,2017,2017,Lago Laja,EmbQExtCnv,13,EtaMes,33.3,60.5,44.8,68.5,50.4,49.3,45.6,49.6,78,62.1,68.5,62.3
422,F,2017,2017,Lago Laja,EmbQExtCnv,14,EtaMes,57.7,53.2,57.7,51,56.9,56.8,55.8,54.3,54.3,61.5,57.9,52.5
423,F,2017,2017,Lago Laja,EmbQExtCnv,15,EtaMes,40.1,39.7,49.6,51.9,45.8,47.5,54.5,57.5,59.7,80.6,70.9,37
424,F,2017,2017,Lago Laja,EmbQExtCnv,16,EtaMes,32.8,59.3,65.2,65.5,61.3,54.2,58.4,62.1,69.7,84.8,81.3,65
425,F,2017,2017,Lago Laja,EmbQExtCnv,17,EtaMes,33,33.1,48.2,48.1,47.5,49.7,53.2,77.8,86.1,71.2,59.1,57.6
426,F,2017,2017,Lago Laja,EmbQExtCnv,18,EtaMes,32.4,47.7,51.8,72.5,48.7,67.1,64.2,59.6,77.8,73.9,70.4,65.4
427,F,2017,2017,Lago Laja,EmbQExtCnv,19,EtaMes,62.7,42,48.2,39.5,60.1,55,49,43.4,71.7,74.6,71.6,68
428,F,2017,2017,Lago Laja,EmbQExtCnv,20,EtaMes,30.9,38,31.2,48.6,57.5,52.8,62.5,69.8,76.8,64.1,61.5,56.5
429,F,2017,2017,Lago Laja,EmbQExtCnv,21,EtaMes,53.3,42.1,47.4,53.4,54,66.7,55.5,68.9,69.5,63.6,61.6,50.7
430,F,2017,2017,Lago Laja,EmbQExtCnv,22,EtaMes,51.3,47.2,50.6,51.7,56.1,55.6,55,63.5,62.8,95.5,94.5,47.5
431,F,2017,2017,Lago Laja,EmbQExtCnv,23,EtaMes,43.5,44.2,57.3,46.1,58.1,42.1,41.7,56.7,56.8,64.4,62.9,59
432,F,2017,2017,Lago Laja,EmbQExtCnv,24,EtaMes,59.1,56.2,56.7,52.8,53.6,55.5,49.3,57.8,57.5,94.6,89.4,48
433,F,2017,2017,Lago Laja,EmbQExtCnv,25,EtaMes,51.6,51.2,50.9,51.3,51.6,52.7,58.9,67.4,74.6,68.3,65.3,61.5
434,F,2017,2017,Lago Laja,EmbQExtCnv,26,EtaMes,60.8,54.8,56.1,58.2,50.3,47,53.2,58.8,49,53.1,51.5,50.6
435,F,2017,2017,Lago Laja,EmbQExtCnv,27,EtaMes,50.2,54.1,46.8,63.4,65.3,69.3,47.6,63.7,67.8,69.1,63.9,71.8
436,F,2017,2017,Lago Laja,EmbQExtCnv,28,EtaMes,47.8,47.1,48.1,46.1,48.1,57.8,45,57.8,78.3,83.6,81.7,74.7
437,F,2017,2017,Lago Laja,EmbQExtCnv,29,EtaMes,65.5,61.9,62.4,57,47.6,53.5,45.3,48.4,50.3,76.4,69.3,59.5
438,F,2017,2017,Lago Laja,EmbQExtCnv,30,EtaMes,34.1,33.9,34,34.4,42.9,52.9,76.7,83.2,78.7,53.9,54.7,44.4
439,F,2017,2017,Lago Laja,EmbQExtCnv,31,EtaMes,34.2,34.6,35.2,44.4,77.6,73.6,75.1,99.6,56.1,47,46.2,40.7
440,F,2017,2017,Lago Laja,EmbQExtCnv,32,EtaMes,30.2,50.4,66.4,62.7,75.8,68,64.8,68.8,62.1,57.8,49,36.5
441,F,2017,2017,Lago Laja,EmbQExtCnv,33,EtaMes,32.3,46.4,53.5,92.3,56.4,60.9,76.1,54,78,81,77.2,47
442,F,2017,2017,Lago Laja,EmbQExtCnv,34,EtaMes,43.2,47.2,36.7,46.9,48.6,56.8,43.8,67.5,65.1,69.3,68.8,66
443,F,2017,2017,Lago Laja,EmbQExtCnv,35,EtaMes,66.6,65,37.3,38.2,61,44,41.3,51.4,62.5,74.9,67,63.2
444,F,2017,2017,Lago Laja,EmbQExtCnv,36,EtaMes,68.9,65.1,40.1,41.3,54.5,42.7,44.1,46,62.6,66.7,64.8,63.8
445,F,2017,2017,Lago Laja,EmbQExtCnv,37,EtaMes,60.9,58.9,54.7,61,59.7,59.3,56.9,50.6,42.8,87.2,69.9,60.9
446,F,2017,2017,Lago Laja,EmbQExtCnv,38,EtaMes,60.6,63.9,44.2,50.1,48.4,50.9,52.9,54.8,61.8,61.9,65.2,64.6
447,F,2017,2017,Lago Laja,EmbQExtCnv,39,EtaMes,61.6,60.5,59.9,57.7,56.8,57.2,53,52.6,43.4,71,59.9,48.5
448,F,2017,2017,Lago Laja,EmbQExtCnv,40,EtaMes,49,48.6,48.9,48.7,49.4,50.9,57.1,62.3,79.9,77,73.3,42
449,F,2017,2017,Lago Laja,EmbQExtCnv,41,EtaMes,32.1,32,46.5,49.2,75.7,70,56.1,70.4,82.5,71.4,53.3,41.7
450,F,2017,2017,Lago Laja,EmbQExtCnv,42,EtaMes,39.7,56.4,52.2,38.6,45,60.1,52.1,70.4,71,83.3,77.6,74.1
451,F,2017,2017,Lago Laja,EmbQExtCnv,43,EtaMes,71.1,57.6,60.7,47.7,37.4,45.3,36.6,49.9,59,61.4,69.8,65.5
452,F,2017,2017,Lago Laja,EmbQExtCnv,44,EtaMes,57.2,57.1,48.3,55.8,58.5,56.1,50.9,56.9,55.2,58.3,45.4,44.3
453,F,2017,2017,Lago Laja,EmbQExtCnv,45,EtaMes,49.6,59.5,51.3,50,57,53.6,55.7,60.6,56.1,80.7,73.7,65.2
454,F,2017,2017,Lago Laja,EmbQExtCnv,46,EtaMes,68.1,54.3,45.4,48.2,42.3,57.8,51.6,46.2,66.8,58.6,56.3,54.7
455,F,2017,2017,Lago Laja,EmbQExtCnv,47,EtaMes,57.8,55.9,58.3,59.9,56.8,56.6,57,59.3,57.3,80.6,76.8,74.5
456,F,2017,2017,Lago Laja,EmbQExtCnv,48,EtaMes,53.4,54.1,54.6,55.6,56.1,56.8,58.5,59.9,61.4,57.9,57.8,57.6
457,F,2017,2017,Lago Laja,EmbQExtCnv,49,EtaMes,45.6,73.4,47.2,55.4,52,44.6,50.9,55.5,60.8,50.5,65.1,59.9
458,F,2017,2017,Lago Laja,EmbQExtCnv,50,EtaMes,64.2,64.2,61.8,59.5,57.3,55.5,52.8,48.3,49.5,83.3,81.3,79.2
459,F,2017,2017,Lago Laja,EmbQExtCnv,51,EtaMes,79.6,43.1,42.1,34.8,55,55.3,56.2,55.8,48.5,62.7,62,48.4
