LinINum,LinNom,LinFOpe,LinFecOpeIni,LinFecOpeFin,LinBarA,LinBarB,LinBarSis,LinFPrtFlu,LinFPrtHis,LinNIntHis,LinFPrtInd,LinFCC,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFPri,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinFPer,LinNTra,LinDisEne,LinFPeaCal,LinPeaSis,LinPeaTip,LinFTipDef,LinFInv,LinFecInv,LinVI,LinCOMA,LinVidUti,LinEmp,LinAux,LinAux,LinAux,LinAux
94,Los Maquis 220 Aux->Los Maquis 220,T,*,*,Los Maquis 220 Aux,Los Maquis 220,*,F,F,101,F,F,294,294,T,F,T,294,294,220,0,0.001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,Otro,SIC,TxT,Ln,220
95,Los Maquis 220->Los Maquis 110,T,*,*,Los Maquis 220,Los Maquis 110,BarB,F,F,101,F,F,74,74,T,F,F,74,74,220,1.8392,90.6532,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Otro,SIC,STX C,Tr,220/110
96,Punta Peuco 110->Las Vegas 110,T,*,*,Punta Peuco 110,Las Vegas 110,BarA,F,F,101,F,F,162,162,T,F,F,81,81,110,1.85735,6.81835,T,3,1,F,STx,Cmn,F,F,*,12.232,0.154,30,AesGener S.A.,SIC,STx D,Ln,110
97,Batuco 110->Punta Peuco 110,T,*,*,Batuco 110,Punta Peuco 110,*,F,F,101,F,F,162,162,T,F,F,81,81,110,0.93775,3.45455,T,3,1,F,STx,Cmn,F,F,*,4.376,0.044,30,AesGener S.A.,SIC,STX D,Ln,110
98,Cerro Navia 110->Batuco 110,T,*,*,Cerro Navia 110,Batuco 110,*,F,F,101,F,F,162,162,T,F,F,81,81,110,1.0285,3.7873,T,3,1,F,STx,Cmn,F,F,*,8.116,0.112,30,AesGener S.A.,SIC,STX D,Ln,110
99,El Salto 110->La Dehesa 110,T,*,*,El Salto 110,La Dehesa 110,*,F,F,101,F,F,186,186,T,F,F,93,93,110,0.3207,1.1979,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
100,La Dehesa 110->Vitacura 110,T,*,*,La Dehesa 110,Vitacura 110,*,F,F,101,F,F,158,158,T,F,F,79,79,110,0.0303,0.1029,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
101,Vitacura 110->Alonso de Cordova 110,T,*,*,Vitacura 110,Alonso de Cordova 110,*,F,F,101,F,F,136,136,T,F,F,68,68,110,0.1634,0.4659,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
102,Alonso de Cordova 110->Apoquindo 110,T,*,*,Alonso de Cordova 110,Apoquindo 110,*,F,F,101,F,F,136,136,T,F,F,68,68,110,0.0787,0.2178,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
103,Apoquindo 110->Los Dominicos 110,T,*,*,Apoquindo 110,Los Dominicos 110,*,F,F,101,F,F,186,186,T,F,F,93,93,110,0.1815,0.8652,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
104,Los Dominicos 110->Los Almendros 110,T,*,*,Los Dominicos 110,Los Almendros 110,*,F,F,101,F,F,316,316,T,F,F,158,158,110,0.0545,0.2602,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
105,El Salto 110->San Cristobal 110,T,*,*,El Salto 110,San Cristobal 110,*,F,F,101,F,F,186,186,T,F,F,93,93,110,0.5506,2.0631,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
106,San Cristobal 110->Recoleta 110,T,*,*,San Cristobal 110,Recoleta 110,*,F,F,101,F,F,90,90,T,F,F,45,45,110,0.6655,1.1798,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
107,Recoleta 110->Quilicura 110,T,*,*,Recoleta 110,Quilicura 110,*,F,F,101,F,F,316,316,T,F,F,158,158,110,0.8954,1.9905,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
108,Quilicura 110->Lo Boza 110,T,*,*,Quilicura 110,Lo Boza 110,*,F,F,101,F,F,316,316,T,F,F,158,158,110,0.2602,0.9075,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
109,Lo Boza 110->Cerro Navia 110,T,*,*,Lo Boza 110,Cerro Navia 110,*,F,F,101,F,F,212,212,T,F,F,106,106,110,0.1271,0.4538,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
110,Cerro Navia 110->Altamirano 110,T,*,*,Cerro Navia 110,Altamirano 110,*,F,F,101,F,F,423,423,T,F,F,423,423,110,0.1331,1.0769,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
111,Altamirano 110->Renca 110,T,*,*,Altamirano 110,Renca 110,*,F,F,101,F,F,423,423,T,F,F,423,423,110,0.0726,0.2541,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
112,Carrascal 110->Renca 110,T,*,*,Carrascal 110,Renca 110,*,F,F,101,F,F,423,423,T,F,F,423,423,110,0.0726,0.2541,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
113,Renca 110->Ochagavia 110,F,*,*,Renca 110,Ochagavia 110,*,F,F,101,F,F,74,74,T,F,F,74,74,110,0.484,1.089,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
114,Ochagavia 110->Club Hipico 110,T,*,*,Ochagavia 110,Club Hipico 110,*,F,F,101,F,F,142,142,T,F,F,71,71,110,0.0363,0.1271,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
115,Club Hipico 110->San Joaquin 110,T,*,*,Club Hipico 110,San Joaquin 110,*,F,F,101,F,F,136,136,T,F,F,68,68,110,0.2299,0.68365,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
116,San Joaquin 110->Santa Elena 110,T,*,*,San Joaquin 110,Santa Elena 110,*,F,F,101,F,F,132,132,T,F,F,66,66,110,0.0908,0.2723,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
117,Santa Elena 110->Macul 110,T,*,*,Santa Elena 110,Macul 110,*,F,F,101,F,F,136,136,T,F,F,68,68,110,0.2723,0.8107,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
118,Macul 110->Florida 110,T,*,*,Macul 110,Florida 110,*,F,F,101,F,F,136,136,T,F,F,68,68,110,0.3993,1.1979,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
119,Florida 110->La Reina 110,T,*,*,Florida 110,La Reina 110,*,F,F,101,F,F,116,116,T,F,F,58,58,110,0.726,2.2627,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
120,La Reina 110->Torre 80 110,T,*,*,La Reina 110,Torre 80 110,*,F,F,101,F,F,116,116,T,F,F,58,58,110,0.3691,1.1011,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
121,Torre 80 110->Los Almendros 110,T,*,*,Torre 80 110,Los Almendros 110,*,F,F,101,F,F,162,162,T,F,F,81,81,110,0.121,0.4477,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
122,Cerro Navia 110->Pudahuel 110,T,*,*,Cerro Navia 110,Pudahuel 110,*,F,F,101,F,F,188,188,T,F,F,94,94,110,0.0121,0.0484,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
123,Pudahuel 110->San Jose 110,T,*,*,Pudahuel 110,San Jose 110,*,F,F,101,F,F,188,188,T,F,F,94,94,110,0.0847,0.4235,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
124,San Jose 110->Pajaritos 110,T,*,*,San Jose 110,Pajaritos 110,*,F,F,101,F,F,128,128,T,F,F,64,64,110,0.121,0.4054,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
125,Pajaritos 110->Lo Valledor 110,T,*,*,Pajaritos 110,Lo Valledor 110,*,F,F,101,F,F,128,128,T,F,F,64,64,110,0.121,0.4054,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
126,Lo Valledor 110->Maipu 110,T,*,*,Lo Valledor 110,Maipu 110,*,F,F,101,F,F,128,128,T,F,F,64,64,110,0.2118,0.7139,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
127,Maipu 110->Chena 110,T,*,*,Maipu 110,Chena 110,*,F,F,101,F,F,128,128,T,F,F,64,64,110,0.0847,0.2844,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
128,Chena 110->Lo Espejo 110,T,*,*,Chena 110,Lo Espejo 110,*,F,F,101,F,F,316,316,T,F,F,158,158,110,0.0363,0.1755,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
129,Lo Espejo 110->La Cisterna 110,T,*,*,Lo Espejo 110,La Cisterna 110,*,F,F,101,F,F,316,316,T,F,F,158,158,110,0.0968,0.42955,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
130,La Cisterna 110->Ochagavia 110,T,*,*,La Cisterna 110,Ochagavia 110,*,F,F,101,F,F,316,316,T,F,F,158,158,110,0.1513,0.6655,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
131,Alto Jahuel 110->San Bernardo 110,T,*,*,Alto Jahuel 110,San Bernardo 110,*,F,F,101,F,F,316,316,T,F,F,158,158,110,0.5203,1.9058,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
132,San Bernardo 110->Lo Espejo 110,T,*,*,San Bernardo 110,Lo Espejo 110,*,F,F,101,F,F,316,316,T,F,F,158,158,110,0.44165,1.573,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
133,Alto Jahuel 110->Santa Rosa 110,T,*,*,Alto Jahuel 110,Santa Rosa 110,*,F,F,101,F,F,142,142,T,F,F,71,71,110,0.96195,3.07945,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
134,Santa Rosa 110->Santa Raquel 110,T,*,*,Santa Rosa 110,Santa Raquel 110,*,F,F,101,F,F,142,142,T,F,F,71,71,110,0.0484,0.1573,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
135,Santa Raquel 110->Florida 110,T,*,*,Santa Raquel 110,Florida 110,*,F,F,101,F,F,142,142,T,F,F,71,71,110,0.3388,1.09505,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Ln,110
136,Chena 220->Chena 110,T,*,*,Chena 220,Chena 110,BarB,F,F,101,F,F,784,392,T,F,F,392,392,220,0.63,6.32,T,1,1,F,STx,Ret,F,F,*,14.93,0.361,30,Transelec,SIC,STx D,Tr,220/110
137,Cerro Navia 220->Cerro Navia 110 1,T,*,*,Cerro Navia 220,Cerro Navia 110,BarB,F,F,101,F,F,800,800,T,F,F,400,400,220,0.1208,6.83,T,3,1,F,STx,Cmn,F,F,*,18.88,0.525,30,Transelec/Chilectra,SIC,STx D,Tr,220/110
138,Cerro Navia 220->Cerro Navia 110 2,T,MesJun-2017,*,Cerro Navia 220,Cerro Navia 110,BarB,F,F,101,F,F,400,400,T,F,F,400,400,220,0.2416,13.66,T,3,1,F,STx,Cmn,F,F,*,18.88,0.525,30,Transelec/Chilectra,SIC,STx D,Tr,220/110
139,Lampa 220->Polpaico 220,F,*,MesMar-2012,Lampa 220,Polpaico 220,*,F,F,101,F,F,620,620,T,T,T,460,460,220,0.847,3.3638,T,5,1,T,TxT,Cmn,F,F,*,5.426,0.138,30,Transelec,SIC,TxT,Ln,220
140,Polpaico 220->Polpaico Desf 220,T,*,*,Polpaico 220,Polpaico Desf 220,*,F,F,101,F,T,700,700,T,T,T,700,700,220,0,5.5925,T,3,1,F,TxT,Cmn,F,F,*,10,1,30,Otro,SIC,TxT,Ln,220
141,Lampa 220->Polpaico Desf 220,T,*,*,Lampa 220,Polpaico Desf 220,*,F,F,101,F,F,620,620,T,T,T,530,530,220,0.847,3.3638,T,5,1,T,TxT,Cmn,F,F,*,5.426,0.138,30,Transelec,SIC,TxT,Ln,220
142,Cerro Navia 220->Lampa 220,T,*,*,Cerro Navia 220,Lampa 220,*,F,F,101,F,F,620,620,T,T,T,530,530,220,0.6776,2.662,T,5,1,T,TxT,Cmn,F,F,*,4.526,0.116,30,Transelec,SIC,TxT,Ln,220
143,Chena 220->Cerro Navia 220,T,*,*,Chena 220,Cerro Navia 220,*,F,F,101,F,F,800,800,T,T,T,510,510,220,0.6292,2.3958,T,5,1,T,TxT,Cmn,F,F,*,4.632,0.118,30,Transelec,SIC,TxT,Ln,220
144,Melipilla 220->Cerro Navia 220,T,*,MesMay-2015,Melipilla 220,Cerro Navia 220,*,F,F,101,F,F,386,386,F,T,F,193,193,220,2.8314,11.0836,T,3,1,F,TxT,Cmn,F,F,*,6.996,0.158,30,Transelec,SIC,TxT,Ln,220
145,Rapel 220->Melipilla 220,T,*,*,Rapel 220,Melipilla 220,*,F,F,101,F,F,386,386,F,T,F,193,193,220,2.8314,11.0836,T,3,1,F,TxT,Cmn,F,F,*,6.861,0.154,30,Transelec,SIC,TxT,Ln,220
146,Melipilla 220->Lo Aguirre 220,T,MesJun-2015,*,Melipilla 220,Lo Aguirre 220,*,F,F,101,F,F,386,386,F,T,F,193,193,220,2.12355,8.3127,T,3,1,F,TxT,Cmn,F,F,*,5.247,0.1185,30,Transelec,SIC,TxT,Ln,220
147,Lo Aguirre 220->Cerro Navia 220,T,MesJun-2015,MesDic-2018,Lo Aguirre 220,Cerro Navia 220,*,F,F,101,F,F,386,386,F,T,T,193,193,220,0.70785,2.7709,T,3,1,F,TxT,Cmn,F,F,*,1.749,0.0395,30,Transelec,SIC,TxT,Ln,220
148,Lo Aguirre 220->Cerro Navia 220 III,F,MesFeb-2017,*,Lo Aguirre 220,Cerro Navia 220,*,F,F,101,F,F,1000,1000,T,T,T,500,500,220,0.353925,1.38545,T,3,1,F,TxT,Cmn,F,F,*,1.749,0.0395,30,Transelec,SIC,TxT,Ln,220
149,Lo Aguirre 220->Cerro Navia 220 IV,F,MesOct-2018,*,Lo Aguirre 220,Cerro Navia 220,*,F,F,101,F,F,1000,1000,T,T,T,500,500,220,0.353925,1.38545,T,3,1,F,TxT,Cmn,F,F,*,1.749,0.0395,30,Transelec,SIC,TxT,Ln,220
150,Lo Aguirre 220->Cerro Navia 220 II,T,MesEne-2019,*,Lo Aguirre 220,Cerro Navia 220,*,F,F,101,F,F,3000,3000,T,T,T,1500,1500,220,0.16,1.896,T,3,1,T,TxT,Cmn,F,F,*,12.255,0.27,30,Transelec,SIC,TxT,Ln,220
151,Lo Aguirre 500->Lo Aguirre 220 I,T,MesJun-2015,*,Lo Aguirre 500,Lo Aguirre 220,*,F,F,101,F,F,771.26,771.26,T,T,T,771.26,771.26,500,0.5,48.75,T,5,1,T,TxT,Cmn,F,F,*,43.11,1.17,30,Transelec,SIC,TxT,Tr,500/220
152,Alto Jahuel 500->Lo Aguirre 500,T,MesSep-2015,*,Alto Jahuel 500 Aux,Lo Aguirre 500,*,F,F,101,F,F,1870,1870,T,T,T,1870,1870,500,0.89406,10.39659,T,5,1,T,TxT,Cmn,F,T,*,22.41204542,0.36708,30,Transelec,SIC,TxT,Ln,500
153,Lo Aguirre 500->Polpaico 500,T,MesJun-2015,*,Lo Aguirre 500,Polpaico 500 Aux,*,F,F,101,F,F,1870,1870,T,T,T,1870,1870,500,0.7999,9.3022,T,5,1,T,TxT,Cmn,F,T,*,19.33959223,0.31676,30,Transelec,SIC,TxT,Ln,500
154,Melipilla 220->Melipilla 110,T,*,*,Melipilla 220,Melipilla 110,BarB,F,F,101,F,F,147,147,F,T,F,147,147,220,8.712,96.4128,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilquinta,SIC,STX E,Tr,220/110
155,Melipilla 110->Melipilla 066,T,*,*,Melipilla 110,Melipilla 066,*,F,F,101,F,F,25,25,F,F,F,25,25,110,3.4122,66.5137,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilquinta,SIC,STX E,Tr,110/66
156,Melipilla 066->Mandinga 066,T,*,*,Melipilla 066,Mandinga 066,*,F,F,101,F,F,25,25,F,F,F,25,25,66,8.1109,5.4189,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilquinta,SIC,STX E,Ln,66
157,Mandinga 066->Araña 066,T,*,*,Mandinga 066,Araña 066,*,F,F,101,F,F,25,25,F,F,F,25,25,66,15.0021,10.0232,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilquinta,SIC,STX E,Ln,66
158,Araña 066->Rapel 066,T,*,*,Araña 066,Rapel 066,*,F,F,101,F,F,15,15,F,F,F,15,15,66,8.5334,8.6989,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilquinta,SIC,STX E,Ln,66
159,Rapel 066->San Fernando 066,F,*,*,Rapel 066,San Fernando 066,*,F,F,101,F,F,15,15,F,F,F,15,15,66,50.912928,42.301116,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Emelectric,SIC,STX E,Ln,66
160,San Fernando 154->San Fernando 066,T,*,*,San Fernando 154,San Fernando 066,*,F,F,101,F,F,110,110,F,F,F,55,55,154,0.632,28.426,T,3,1,F,STx,Cmn,F,F,*,0,0,30,CGE Transmision,SIC,STX E,Tr,154/66
161,Rapel 220->Rapel 066,T,*,*,Rapel 220,Rapel 066,BarB,F,F,101,F,F,335,335,F,F,F,335,335,220,0,65.824,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Emelectric,SIC,TxA,Tr,220/66
162,Polpaico 220->El Salto 220,T,*,*,Polpaico 220,El Salto 220,BarB,F,F,101,F,F,1640,1640,T,T,F,824,824,220,0.8228,7.8408,T,5,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STx D,Ln,220
163,El Salto 220->El Salto 110,T,*,*,El Salto 220,El Salto 110,*,F,F,101,F,F,784,784,T,F,F,784,784,220,0.6292,6.3162,T,5,1,F,STx,Cmn,F,F,*,0,0,30,Chilectra,SIC,STX D,Tr,220/110
164,Alto Jahuel 220->El Rodeo 220,T,*,*,Alto Jahuel 220,El Rodeo 220,*,F,F,101,F,F,1320,1320,T,T,T,1050,1050,220,0.069466799,0.640493893,T,5,1,T,TxT,Cmn,F,F,*,1.579,0.037,30,Transelec,SIC,TxT,Ln,220
165,El Rodeo 220->Chena 220,T,*,*,El Rodeo 220,Chena 220,*,F,F,101,F,F,1320,1320,T,T,T,1050,1050,220,0.532973512,2.667271871,T,5,1,T,TxT,Cmn,F,F,*,5.547,0.131,30,Transelec,SIC,TxT,Ln,220
166,Colbun 220->Candelaria 220,T,*,MesSep-2017,Colbun 220,Candelaria 220,*,F,F,101,T,F,610,610,T,F,T,610,610,220,3.6448,15.37236891,T,3,1,F,TxT,Cmn,F,F,*,0,0,30,Otro,SIC,TxT,Ln,220
167,Candelaria 220->Maipo 220,T,*,*,Candelaria 220,Maipo 220,*,F,F,101,F,F,610,610,T,F,T,610,610,220,0.84216,7.17576,T,3,1,F,TxT,Cmn,F,F,*,1.977,0.05,30,Otro,SIC,TxT,Ln,220
168,Maipo 220->Alto Jahuel 220,T,*,*,Maipo 220,Alto Jahuel 220,*,F,F,101,F,F,610,610,T,F,T,610,610,220,0.006897,0.058767,T,3,1,F,TxT,Cmn,F,F,*,0.016,0.001,30,Otro,SIC,TxT,Ln,220
169,Alfalfal 220->Los Almendros 220,F,*,*,Alfalfal 220,Los Almendros 220,BarA,F,F,101,F,F,373.42,373.42,T,F,F,373.42,373.42,220,1.8392,8.6394,T,3,1,F,STx,Cmn,F,F,*,22.188,0.306,30,Otro,SIC,STX D,Ln,220
170,Los Almendros 220->Alto Jahuel 220,T,*,*,Los Almendros 220,Alto Jahuel 220,*,F,F,101,F,F,818,818,T,F,F,409,409,220,1.848,8.446,T,3,1,F,STx,Cmn,F,F,*,24.246,0.292,30,Otro,SIC,STx D,Ln,220
171,Los Almendros 220->Los Almendros 110,T,*,*,Los Almendros 220,Los Almendros 110,BarB,F,F,101,F,F,392,392,T,F,F,392,392,220,1.2584,12.6324,T,3,1,F,STx,Cmn,F,F,*,28.268,0.683,30,Otro,SIC,STX D,Tr,220/110
172,Polpaico 500->Polpaico 220,T,*,*,Polpaico 500,Polpaico 220,*,F,F,101,F,F,1542.52,1542.52,T,T,T,1542.52,1542.52,500,0.25,24.375,T,5,1,T,TxT,Cmn,F,F,*,19.488,0.53,30,Transelec,SIC,TxT,Tr,500/220
173,Alto Jahuel 500->Alto Jahuel 500 Aux,T,*,*,Alto Jahuel 500,Alto Jahuel 500 Aux,*,F,F,101,F,F,2800,2800,T,T,T,1400,1400,500,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,Transelec,SIC,TxT,Ln,500
174,Polpaico 500->Polpaico 500 Aux,T,*,*,Polpaico 500,Polpaico 500 Aux,*,F,F,101,F,F,2800,2800,T,T,T,1400,1400,500,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,Transelec,SIC,TxT,Ln,500
175,Alto Jahuel 500->Alto Jahuel 220,T,*,*,Alto Jahuel 500,Alto Jahuel 220,*,F,F,101,F,F,1542.52,1542.52,T,T,T,1542.52,1542.52,500,0.25,24.5,T,5,1,T,TxT,Cmn,F,F,*,43.11,1.17,30,Transelec,SIC,TxT,Tr,500/220
176,Alto Jahuel 500->Polpaico 500,T,*,MesMay-2015,Alto Jahuel 500 Aux,Polpaico 500 Aux,*,F,F,101,F,F,1870,1870,T,T,T,1870,1870,500,1.5,19.75,T,5,1,T,TxT,Cmn,F,F,*,17.57,0.363,30,Transelec,SIC,TxT,Ln,500
177,Ancoa 500->Alto Jahuel 500,T,*,*,Ancoa 500 Aux,Alto Jahuel 500,*,F,F,101,F,F,1400,1400,T,T,T,1400,1400,500,6.5,35.56,T,5,1,T,TxT,Cmn,F,F,*,71.5755,1.509,30,Transelec,SIC,TxT,Ln,500
178,Ancoa 500->Polpaico 500,T,*,MesDic-2013,Ancoa 500 Aux,Polpaico 500,*,F,F,101,F,F,1400,1400,T,T,T,1400,1400,500,6.5,42.5,T,5,1,T,TxT,Cmn,F,F,*,76.448,1.603,30,Transelec,SIC,TxT,Ln,500
179,Ancoa 500->Alto Jahuel 500 II,T,MesEne-2014,*,Ancoa 500 Aux,Alto Jahuel 500,*,F,F,101,F,F,1400,1400,T,T,T,1400,1400,500,6.207,30.16,T,5,1,T,TxT,Cmn,F,F,*,76.448,1.603,30,Transelec,SIC,TxT,Ln,500
180,Alto Jahuel 500->Polpaico 500 II,T,MesEne-2014,MesAgo-2018,Alto Jahuel 500 Aux,Polpaico 500 Aux,*,F,F,101,F,F,1870,1870,T,T,T,1870,1870,500,1.632,19.284,T,5,1,T,TxT,Cmn,F,F,*,76.448,1.603,30,Transelec,SIC,TxT,Ln,500
181,Ancoa 500->Alto Jahuel 500 III,T,MesOct-2015,*,Ancoa 500 Aux,Alto Jahuel 500,*,F,F,101,F,F,1400,1400,T,T,T,1400,1400,500,6.207,35.56,T,5,1,T,TxT,Cmn,F,F,*,76.448,1.603,30,Transelec,SIC,TxT,Ln,500
182,Ancoa 500->Alto Jahuel 500 IV,T,MesEne-2016,*,Ancoa 500 Aux,Alto Jahuel 500,*,F,F,101,F,F,1400,1400,T,T,T,1400,1400,500,6.207,35.56,T,5,1,T,TxT,Cmn,F,F,*,76.448,1.603,30,Transelec,SIC,TxT,Ln,500
183,Ancoa 500->Ancoa 500 Aux,T,*,*,Ancoa 500,Ancoa 500 Aux,*,F,F,101,F,F,2800,2800,T,T,T,1900,1900,500,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,Transelec,SIC,TxT,Ln,500
184,Ancoa 500->Ancoa 220,T,*,*,Ancoa 500,Ancoa 220,*,F,F,101,F,F,771.26,771.26,T,T,T,771.26,771.26,500,0.5,48.75,T,5,1,T,TxT,Cmn,F,F,*,19.488,0.53,30,Transelec,SIC,TxT,Tr,500/220
185,Alto Jahuel 220->Alto Jahuel 110,T,*,*,Alto Jahuel 220,Alto Jahuel 110,BarB,F,F,101,F,F,821,821,T,F,F,821,821,220,0.1332,7.4888,T,3,1,F,STx,Cmn,F,F,*,11.183,0.338,30,Transelec,SIC,STx D,Tr,220/110
186,Sauzal 110->Alto Jahuel 110,T,*,*,Sauzal 110,Alto Jahuel 110,BarA,F,F,101,F,F,153.2,153.2,F,F,F,153.2,153.2,110,4.4044,12.8502,T,3,1,F,STx,Cmn,F,F,*,8.426,0.228,30,Transelec,SIC,TxA,Ln,110
187,Sauzal 154->Sauzal 110,T,*,*,Sauzal 154,Sauzal 110,*,F,F,101,F,F,123.96,123.96,F,F,F,123.96,123.96,154,0.009565989,14.79858503,T,3,1,F,STx,Cmn,F,F,*,0.889,0.03,30,Transelec,SIC,TxA,Tr,154/110
188,Sauzal 154->Rancagua 154,T,*,*,Sauzal 154,Rancagua 154,BarA,F,F,101,F,F,108,108,T,F,F,108,108,154,3.936856,5.407248,T,3,1,F,STx,Cmn,F,F,*,11.695,0.316,30,Transelec,SIC,TxA,Ln,154
189,Alto Jahuel 220->Alto Jahuel 154,T,*,*,Alto Jahuel 220,Alto Jahuel 154,BarB,F,F,101,F,F,300,300,T,T,F,300,300,220,0.0968,15.488,T,5,1,F,STx,Cmn,F,F,*,6.99,0.211,30,Transelec,SIC,STx E,Tr,220/154
190,Alto Jahuel 154->Paine 154,F,*,*,Alto Jahuel 154,Paine 154,*,F,F,101,F,F,179,179,T,T,F,179,179,154,1.45,6.7,T,5,1,F,STx,Cmn,F,F,*,2.115,0.055,30,Transelec,SIC,STX E,Ln,154
191,Paine 154->Rancagua 154,F,*,*,Paine 154,Rancagua 154,*,F,F,101,F,F,179,179,T,T,F,179,179,154,3.49,16.63,T,5,1,F,STx,Cmn,F,F,*,4.408,0.109,30,Transelec,SIC,STX E,Ln,154
