name,busbari,busbarf,connected,report,start_time,end_time,voltage,max_flow,r,x,losses,lifetime,inv_cost,coma_cost
Chapiquina 066->El Aguila 066,Chapiquina 066,El Aguila 066,true,true,1970-01-01-00:00,3000-01-01-00:00,66,48.0,0.2,0.341,true,30,0,0
El Aguila 066->Arica 066,El Aguila 066,Arica 066,true,true,1970-01-01-00:00,3000-01-01-00:00,66,48.0,0.253,0.433,true,30,0,0
CD Arica 066->Arica 066,CD Arica 066,Arica 066,true,true,1970-01-01-00:00,3000-01-01-00:00,66,17.0,0.078,0.098,true,30,0,0
Arica 110->Arica 066,Arica 110,Arica 066,true,true,1970-01-01-00:00,3000-01-01-00:00,110,30.0,0.0,0.197,true,30,0,0
Arica 110->Dolores 110,Arica 110,Dolores 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,29.0,0.334,0.428,true,30,0,0
Dolores 110->Pozo Almonte 110,Dolores 110,Pozo Almonte 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,29.0,0.193,0.247,true,30,0,0
Pozo Almonte 066->Tamarugal 066,Pozo Almonte 066,Tamarugal 066,true,true,1970-01-01-00:00,3000-01-01-00:00,66,10.0,0.144,0.213,true,30,0,0
Iquique 066->Pozo Almonte 066,Iquique 066,Pozo Almonte 066,true,true,1970-01-01-00:00,3000-01-01-00:00,66,46.0,0.214,0.376,true,30,0,0
Iquique 066->Cavancha 066,Iquique 066,Cavancha 066,true,true,1970-01-01-00:00,3000-01-01-00:00,66,41.0,0.023,0.033,true,30,0,0
Cavancha 066->Pozo Almonte 066,Cavancha 066,Pozo Almonte 066,true,true,1970-01-01-00:00,3000-01-01-00:00,66,41.0,0.3,0.438,true,30,0,0
CD Iquique 066->Iquique 066,CD Iquique 066,Iquique 066,true,true,1970-01-01-00:00,3000-01-01-00:00,66,48.0,0.011,0.014,true,30,0,0
Pozo Almonte 220->Pozo Almonte1 110,Pozo Almonte 220,Pozo Almonte1 110,true,true,1970-01-01-00:00,3000-01-01-00:00,220,100.0,0.0,0.133,true,30,0,0
Pozo Almonte1 110->Cerro Colorado 110,Pozo Almonte1 110,Cerro Colorado 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,164.0,0.05,0.201,true,30,0,0
Lagunas 220->Pozo Almonte 220,Lagunas 220,Pozo Almonte 220,true,true,1970-01-01-00:00,2019-06-01-00:00,220,183.0,0.014,0.06,true,30,0,0
Lagunas 220->Lagunas 023,Lagunas 220,Lagunas 023,true,true,1970-01-01-00:00,3000-01-01-00:00,220,24.0,0.0,0.796,true,30,0,0
Tarapaca 220->Lagunas 220,Tarapaca 220,Lagunas 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,183.0,0.003,0.023,true,30,0,0
Tarapaca 220->Condores 220,Tarapaca 220,Condores 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,182.9,0.013,0.059,true,30,0,0
Condores 220->Condores 110,Condores 220,Condores 110,true,true,1970-01-01-00:00,3000-01-01-00:00,220,195.0,0.0,0.071,true,30,0,0
Condores 110->Pacifico 110,Condores 110,Pacifico 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,98.0,0.011,0.027,true,30,0,0
Condores 110->Palafitos 110,Condores 110,Palafitos 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,98.0,0.01,0.026,true,30,0,0
Condores 110->Alto Hospicio 110,Condores 110,Alto Hospicio 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,98.0,0.003,0.008,true,30,0,0
Alto Hospicio 110->Cerro Dragon 110,Alto Hospicio 110,Cerro Dragon 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,98.0,0.003,0.007,true,30,0,0
Condores 220->Parinacota 220,Condores 220,Parinacota 220 Aux,true,true,1970-01-01-00:00,3000-01-01-00:00,220,91.45,0.041,0.188,true,30,0,0
Parinacota 220->Parinacota 066,Parinacota 220,Parinacota 066,true,true,1970-01-01-00:00,3000-01-01-00:00,220,120.0,0.0,0.11,true,30,0,0
Parinacota 066->Pukara 066,Parinacota 066,Pukara 066,true,true,1970-01-01-00:00,3000-01-01-00:00,66,59.0,0.008,0.021,true,30,0,0
Parinacota 066->Chinchorro 066,Parinacota 066,Chinchorro 066,true,true,1970-01-01-00:00,3000-01-01-00:00,66,59.0,0.011,0.029,true,30,0,0
Parinacota 066->Quiani 066,Parinacota 066,Quiani 066,true,true,1970-01-01-00:00,3000-01-01-00:00,66,59.0,0.013,0.034,true,30,0,0
Lagunas 220->Collahuasi 220,Lagunas 220,Collahuasi 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,218.0,0.01,0.049,true,30,0,0
Collahuasi 220->Quebrada Blanca 220,Collahuasi 220,Quebrada Blanca 220,true,true,1970-01-01-00:00,2019-01-01-00:00,220,180.0,0.003,0.02,true,30,0,0
Encuentro 220->Collahuasi 220,Encuentro 220,Collahuasi 220,false,false,1970-01-01-00:00,2012-05-01-00:00,220,129.0,0.037,0.17,true,30,0,0
Crucero 220->Lagunas 220 AUX,Crucero 220,Lagunas AUX 220,false,false,1970-01-01-00:00,2013-09-01-00:00,220,122.0,0.032,0.142,true,30,0,0
Crucero 220->Nueva Victoria 220,Crucero 220,Nueva Victoria 220,false,false,1970-01-01-00:00,2013-09-01-00:00,220,122.0,0.032,0.132,true,30,0,0
Nueva Victoria 220->Lagunas 220,Nueva Victoria 220,Lagunas 220,false,false,1970-01-01-00:00,2013-09-01-00:00,220,122.0,0.003,0.014,true,30,0,0
La Cruz 220->Crucero 220,La Cruz 220,Crucero 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,750.0,0.001,0.005,true,30,0,0
Barril 220->La Cruz 220,Barril 220,La Cruz 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,750.0,0.002,0.017,true,30,0,0
Barril 220->Barril 110,Barril 220,Barril 110,true,true,1970-01-01-00:00,3000-01-01-00:00,220,30.0,0.0,0.4,true,30,0,0
Norgener 220->Barril 220,Norgener 220,Barril 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,750.0,0.001,0.007,true,30,0,0
Barril 110->Mantos de la Luna 110,Barril 110,Mantos de la Luna 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,70.0,0.06,0.088,true,30,0,0
Tocopilla 220->El Loa 220,Tocopilla 220,El Loa 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,714.0,0.004,0.026,true,30,0,0
El Loa 220->Crucero 220,El Loa 220,Crucero 220,true,true,1970-01-01-00:00,2019-05-01-00:00,220,714.0,0.001,0.004,true,30,0,0
Tocopilla 220->Tocopilla 110,Tocopilla 220,Tocopilla 110,true,true,1970-01-01-00:00,3000-01-01-00:00,220,200.0,0.0,0.072,true,30,0,0
Tocopilla 110->Tocopilla 005,Tocopilla 110,Tocopilla 005,true,true,1970-01-01-00:00,3000-01-01-00:00,110,30.0,0.0,0.022,true,30,0,0
Tocopilla 110->Salar 110,Tocopilla 110,Salar 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,90.0,0.147,0.441,true,30,0,0
Tocopilla 110->A 110,Tocopilla 110,A 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,270.0,0.048,0.137,true,30,0,0
Crucero 220->Radomiro Tomic 220,Crucero 220,Radomiro Tomic 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,218.3,0.009,0.067,true,30,0,0
Crucero 220->El Abra 220,Crucero 220,El Abra 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,218.3,0.011,0.084,true,30,0,0
Crucero 220->Chuquicamata 220,Crucero 220,Chuquicamata 220,true,true,1970-01-01-00:00,2019-05-01-00:00,220,356.7,0.008,0.058,true,30,0,0
Chuquicamata 220->Chuquicamata 110,Chuquicamata 220,Chuquicamata 110,true,true,1970-01-01-00:00,3000-01-01-00:00,220,240.0,0.0,0.058,true,30,0,0
Chuquicamata 110->A 110,Chuquicamata 110,A 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,200.0,0.002,0.006,true,30,0,0
Chuquicamata 110->KM6 110,Chuquicamata 110,KM6 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,100.0,0.004,0.017,true,30,0,0
Salar 220->Chuquicamata 220,Salar 220,Chuquicamata 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,458.0,0.002,0.016,true,30,0,0
Crucero 220->Salar 220,Crucero 220,Salar 220,true,true,1970-01-01-00:00,2019-05-01-00:00,220,356.7,0.009,0.061,true,30,0,0
Salar 220->Salar 110,Salar 220,Salar 110,true,true,1970-01-01-00:00,3000-01-01-00:00,220,120.0,0.0,0.071,true,30,0,0
Salar 110->KM6 110,Salar 110,KM6 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,62.0,0.005,0.014,true,30,0,0
Salar 110->Calama 110,Salar 110,Calama 110,false,false,1970-01-01-00:00,3000-01-01-00:00,110,44.0,0.023,0.038,true,30,0,0
Crucero 220->Encuentro 220  I,Crucero 220,Encuentro 220 Aux,true,true,1970-01-01-00:00,2015-12-01-00:00,220,365.81,0.0,0.001,true,30,0,10000
Crucero 220->Encuentro 220  II,Crucero 220,Encuentro 220 Aux,true,true,1970-01-01-00:00,2015-12-01-00:00,220,365.81,0.0,0.001,true,30,0,10000
Encuentro 220->Encuentro 220 Aux,Encuentro 220,Encuentro 220 Aux,true,true,1970-01-01-00:00,2015-12-01-00:00,220,470.0,0.0,0.001,true,30,0,0
Crucero 220->Laberinto 220 I,Crucero 220,Laberinto 220 Aux,true,true,1970-01-01-00:00,2019-05-01-00:00,220,293.03,0.022,0.113,true,30,0,0
Crucero 220->Escondida 220,Crucero 220,Escondida 220,false,false,1970-01-01-00:00,2010-07-01-00:00,220,180.0,0.039,0.2,true,30,0,0
Crucero 220->Laberinto 220 II,Crucero 220,Laberinto 220 Aux,true,true,1970-01-01-00:00,2019-05-01-00:00,220,304.84,0.02,0.11,true,30,0,0
Laberinto 220->Nueva Zaldivar 220 II,Laberinto 220,Nueva Zaldivar 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,377.0,0.011,0.06,true,30,0,0
Nueva Zaldivar 220->Escondida 220,Nueva Zaldivar 220,Escondida 220,false,false,1970-01-01-00:00,3000-01-01-00:00,220,293.0,0.002,0.011,true,30,0,0
Chacaya 220->Crucero 220,Chacaya 220,Crucero 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,266.0,0.032,0.131,true,30,0,0
Chacaya 220->El Cobre 220,Chacaya 220,El Cobre 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,846.0,0.007,0.058,true,30,0,0
Encuentro 220->El Tesoro 220,Encuentro 220,El Tesoro 220,true,true,1970-01-01-00:00,2020-05-01-00:00,220,125.0,0.02,0.077,true,30,0,0
El Tesoro 220->Esperanza SING 220,El Tesoro 220,Esperanza SING 220,true,true,1970-01-01-00:00,2020-05-01-00:00,220,266.0,0.003,0.011,true,30,0,0
Encuentro 220->El Tesoro 220 2,Encuentro 220,Centinela 220,true,true,2020-05-01-00:00,3000-01-01-00:00,220,125.0,0.021,0.082,true,30,0,0
El Tesoro 220->Centinela 220,El Tesoro 220,Centinela 220,true,true,2020-05-01-00:00,3000-01-01-00:00,220,266.0,0.001,0.005,true,30,0,0
Centinela 220->Esperanza SING 220,Centinela 220,Esperanza SING 220,true,true,2020-05-01-00:00,3000-01-01-00:00,220,266.0,0.001,0.006,true,30,0,0
El Cobre 220->Esperanza SING 220,El Cobre 220,Esperanza SING 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,222.0,0.009,0.034,true,30,0,0
Encuentro 220->Spence 220,Encuentro 220,Spence 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,318.0,0.01,0.056,true,30,0,0
Atacama 220->Encuentro 220 I,Atacama 220 Aux,Encuentro 220,true,true,1970-01-01-00:00,2016-01-01-00:00,220,386.0,0.015,0.095,true,30,0,10000
Atacama 220->Encuentro 220 II,Atacama 220 Aux,Encuentro 220,true,true,1970-01-01-00:00,2016-01-01-00:00,220,386.0,0.015,0.095,true,30,0,10000
Chacaya 220->Capricornio 220,Chacaya 220,Capricornio 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,305.0,0.008,0.042,true,30,0,0
Chacaya 220->Mejillones 220,Chacaya 220,Mejillones 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,305.0,0.0,0.001,true,30,0,0
Capricornio 220->Capricornio 110,Capricornio 220,Capricornio 110,true,true,1970-01-01-00:00,3000-01-01-00:00,220,80.0,0.0,0.161,true,30,0,0
Capricornio 220->Mantos Blancos 220,Capricornio 220,Mantos Blancos 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,305.0,0.003,0.014,true,30,0,0
Laberinto 220->Gaby 220,Laberinto 220,Gaby 220,false,false,1970-01-01-00:00,2010-07-01-00:00,220,274.0,0.013,0.053,true,30,0,0
Laberinto 220->El Cobre 220,Laberinto 220,El Cobre 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,360.86,0.0,0.002,true,30,0,0
El Cobre 220->Gaby 220,El Cobre 220,Gaby 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,266.0,0.012,0.051,true,30,0,0
Laberinto 220->Mantos Blancos 220,Laberinto 220,Mantos Blancos 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,290.0,0.013,0.06,true,30,0,0
Laberinto 220->Lomas Bayas 220,Laberinto 220,Lomas Bayas 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,209.0,0.002,0.009,true,30,0,0
Laberinto 220->Nueva Zaldivar 220 I,Laberinto 220,Nueva Zaldivar 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,293.0,0.016,0.08,true,30,0,0
Oeste 220->Laberinto 220,Oeste 220,Laberinto 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,242.0,0.016,0.073,true,30,0,0
Oeste 220->Oeste 110,Oeste 220,Oeste 110,true,true,1970-01-01-00:00,3000-01-01-00:00,220,55.0,0.0,0.271,true,30,0,0
Oeste 110->Minsal 110,Oeste 110,Minsal 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,50.0,0.058,0.115,true,30,0,0
Minsal 110->Minsal 023,Minsal 110,Minsal 023,true,true,1970-01-01-00:00,3000-01-01-00:00,110,20.0,0.0,0.337,true,30,0,0
Andes 220->Oeste 220,Andes 220,Oeste 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,242.0,0.007,0.033,true,30,0,0
Salta 345->Andes 345,Salta 345,Andes 345,true,true,1970-01-01-00:00,3000-01-01-00:00,345,777.0,0.01,0.12,true,30,0,0
Andes 345->Andes 220,Andes 345,Andes 220,true,true,1970-01-01-00:00,3000-01-01-00:00,345,750.0,0.0,0.015,true,30,0,0
Andes 220->Nueva Zaldivar 220,Andes 220,Nueva Zaldivar 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,634.0,0.004,0.026,true,30,0,0
Nueva Zaldivar 220->Zaldivar 220,Nueva Zaldivar 220,Zaldivar 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,269.0,0.0,0.001,true,30,0,0
Zaldivar 220->Escondida 220,Zaldivar 220,Escondida 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,293.0,0.002,0.011,true,30,0,0
Nueva Zaldivar 220->Sulfuros 220,Nueva Zaldivar 220,Sulfuros 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,293.0,0.003,0.011,true,30,0,0
Domeyko 220->Sulfuros 220,Domeyko 220,Sulfuros 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,293.0,0.0,0.001,true,30,0,0
Domeyko 220->Escondida 220,Domeyko 220,Escondida 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,246.0,0.001,0.006,true,30,0,0
Atacama 220->Domeyko 220,Atacama 220,Domeyko 220,true,true,1970-01-01-00:00,2016-06-01-00:00,220,512.0,0.021,0.087,true,30,0,0
Ohiggins 220->Palestina 220,Ohiggins 220,Palestina 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,183.0,0.01,0.048,true,30,0,0
Palestina 220->Domeyko 220,Palestina 220,Domeyko 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,183.0,0.014,0.064,true,30,0,0
Mejillones 220->Ohiggins 220,Mejillones 220,Ohiggins 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,183.0,0.011,0.043,true,30,0,0
Atacama 220->Esmeralda 220,Atacama 220,Esmeralda 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,127.0,0.013,0.058,true,30,0,0
Esmeralda 220->Esmeralda 110,Esmeralda 220,Esmeralda 110,true,true,1970-01-01-00:00,3000-01-01-00:00,220,195.0,0.0,0.071,true,30,0,0
Esmeralda 110->Centro 110,Esmeralda 110,Centro 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,98.0,0.001,0.002,true,30,0,0
Esmeralda 110->La Portada 110,Esmeralda 110,La Portada 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,98.0,0.02,0.051,true,30,0,0
Esmeralda 110->Sur 110,Esmeralda 110,Sur 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,98.0,0.008,0.02,true,30,0,0
Esmeralda 110->Uribe 110,Esmeralda 110,Uribe 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,98.0,0.019,0.048,true,30,0,0
Mejillones 220->Mejillones 110,Mejillones 220,Mejillones 110,true,true,1970-01-01-00:00,3000-01-01-00:00,220,100.0,0.0,0.132,true,30,0,0
Mejillones 110->Enaex 110,Mejillones 110,Enaex 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,93.0,0.003,0.005,true,30,0,0
Mejillones 110->Lince 110,Mejillones 110,Lince 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,48.0,0.094,0.234,true,30,0,0
Pampa 110->Mejillones 110,Pampa 110,Mejillones 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,57.0,0.04,0.096,true,30,0,0
Desalant 110->Pampa 110,Desalant 110,Pampa 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,57.0,0.026,0.063,true,30,0,0
Antofagasta 110->Desalant 110,Antofagasta 110,Desalant 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,57.0,0.015,0.035,true,30,0,0
Antofagasta 110->Capricornio 110,Antofagasta 110,Capricornio 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,91.0,0.017,0.055,true,30,0,0
Antofagasta 110->La Negra 110,Antofagasta 110,La Negra 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,122.0,0.025,0.062,true,30,0,0
La Negra 110->Alto Norte 110,La Negra 110,Alto Norte 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,122.0,0.006,0.016,true,30,0,0
Capricornio 110->El Negro 110,Capricornio 110,El Negro 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,137.0,0.028,0.088,true,30,0,0
El Negro 110->Alto Norte 110,El Negro 110,Alto Norte 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,137.0,0.005,0.017,true,30,0,0
Antofagasta 013->Antofagasta 110,Antofagasta 013,Antofagasta 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,30.0,0.0,0.386,true,30,0,0
CD Antofagasta 013->Antofagasta 013,CD Antofagasta 013,Antofagasta 013,true,true,1970-01-01-00:00,3000-01-01-00:00,13.8,28.0,0.105,0.158,true,30,0,0
Crucero 220->Chuquicamata 220 II,Crucero 220,Chuquicamata 220,false,false,2014-01-01-00:00,3000-01-01-00:00,220,330.0,0.008,0.058,true,30,0,0
Salar 110->Calama 110 II,Salar 110,Calama 110,false,false,2014-01-01-00:00,3000-01-01-00:00,110,44.0,0.023,0.038,true,30,0,0
Salar 110->Calama 110 III,Salar 110,Calama 110,false,false,2014-01-01-00:00,3000-01-01-00:00,110,44.0,0.023,0.038,true,30,0,0
Salar 220->Salar 110 II,Salar 220,Salar 110,false,false,2014-01-01-00:00,3000-01-01-00:00,220,120.0,0.0,0.071,true,30,0,0
Salar 220->Salar 110 III,Salar 220,Salar 110,false,false,2014-01-01-00:00,3000-01-01-00:00,220,120.0,0.0,0.071,true,30,0,0
Dolores 110->Cerro Balcon 110,Dolores 110,Cerro Balcon 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,29.0,0.046,0.058,true,30,0,0
Cerro Balcon 110->Pozo Almonte 110,Cerro Balcon 110,Pozo Almonte 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,29.0,0.147,0.189,true,30,0,0
Pozo Almonte 220->Pozo Almonte PMT,Pozo Almonte 220,Pozo Almonte PMT,true,true,1970-01-01-00:00,3000-01-01-00:00,220,100.0,0.001,0.013,true,30,0,0
Pozo Almonte PMT->Pozo Almonte 110,Pozo Almonte PMT,Pozo Almonte 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,100.0,0.014,0.205,true,30,0,0
Pozo Almonte PMT->Pozo Almonte 13.8,Pozo Almonte PMT,Pozo Almonte 13.8,true,true,1970-01-01-00:00,3000-01-01-00:00,13.8,20.0,0.127,33.738,true,30,0,0
Pozo Almonte 110->Pozo Almonte 066,Pozo Almonte 110,Pozo Almonte 066,true,true,1970-01-01-00:00,3000-01-01-00:00,110,30.0,0.005,0.343,true,30,0,0
Capricornio 110->Salar del Carmen 110,Capricornio 110,Salar del Carmen 110,false,false,2007-01-01-00:00,3000-01-01-00:00,110,116.0,0.013,0.042,true,30,0,0
Salar del Carmen 110->Antofagasta 110,Salar del Carmen 110,Antofagasta 110,false,false,2007-01-01-00:00,3000-01-01-00:00,110,116.0,0.004,0.013,true,30,0,0
Salar del Carmen 110->Uribe 110,Salar del Carmen 110,Uribe 110,false,false,2007-01-01-00:00,3000-01-01-00:00,110,80.0,0.004,0.014,true,30,0,0
